id,"organ","sentence",frequency
6841,"сърце","Cor - р.с.д. 76  умин. , RR 14090  .",2
6842,"крайници","Крайници без  отоци   по  крайници.",1
6843,"сърце","Cor - р.с.д. 76  умин. , RR 14090",12
6844,"око","ЗРЕНИЕ-зрителна острота - л.око - 0.5 , д.око - 0.5",4
6845,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-изострено везикуларно дишане",2
6846,"сърце","Cor - р.с.д. 76  умин. , RR 12580  .",4
6847,"крайници","Крайници - б.о.При Мингацини задържа 4-те крайника..",1
6848,"език","Език влажен ,необложен",7
6849,"бял дроб","ВЕЗИКУЛАРНО дишане с крепит",7
6850,"общо състояние","Увредено общо съст.",2
6851,"крайници","Крайници- отоци по подб.",1
6852,"сърце","Cor - р.с.д., fr 72 умин. , RR 125 75  .",4
6853,"език","Език влажен,необложен",22
6854,"бъбрек","Succ.ren (-)",5
6855,"сърце","СЪРЦЕ-ритмична нонмофреквентна",3
6856,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-оточни болезнени трудно подвижни  стави сбелези на деформация",3
6857,"специален статус","СПЕЦ.СТАТУС-бо",14
6858,"специален статус","; СПЕЦ.СТАТУС-СЪСТОЯНИЕ СЛЕД ОПЕРАЦИА ОТ СА СИГМЕ КОЛОНИ",5
6859,"кръвно налягане","RR-175/85",14
6860,"кръвно налягане","RR-135/76",4
6861,"специален статус","СПЕЦ.СТАТУС-Неврологичен статус чмн интактни сетивност муск тонус заразен атаксия лека",4
6862,"кръвно налягане","RR-125/76",10
6863,"бял дроб","Pulmo-чисто везикулярно дишане",1
6864,"сърце","Cor-ритмична сърд.дейност",1
6865,"бъбрек","S.R./---/отр.",2
6866,"бъбрек","S.R./+/в дясно.",6
6867,"бъбрек","Succ.ren-двустр",18
6868,"вена","вени-б.о",1
6869,"глава","Глава без деформация",59
6870,"общо състояние","В  задоволително общо състояние.",1
6871,"глава","Глава без деформации",10
6872,"черен дроб","Черен дроб на ребрена дъга , слезка неувеличена",40
6873,"нервна система","Нервна с.ма без промени",5
6874,"бял дроб","Везикуларно дишане без хрипове двустранно",28
6875,"бял дроб","Везикуларно дишане  хрипове двустранно",1
6876,"черен дроб","Черен дроб на ребрена дъга ,слезка неувеличена",3
6877,"нервна система","Нервна с-ма без промени",7
6878,"вена","вени-в норма",4
6879,"око","Очен статус - без екзофталм.",1
6880,"черен дроб","Черендроб на ребрена дъга ,слезка неувеличена",4
6881,"опорно-двигателен апарат","ОДАб.о.периф",1
6882,"вена","вени в норма",1
6883,"кръвно налягане","RR 130/74",8
6884,"нервна система","Нервна система: забавени рефлекси намалена сетивност",5
6885,"гръден кош","Гръден кош-стар операт",4
6886,"бял дроб","Дих. с-ма-отслабено везик",4
6887,"крайници","Крайници-пресен операт",4
6888,"сърце","Сърце-РСД РР 130/85",2
6889,"сърце","Сърце-РСД РР 135/85",1
6890,"сърце","Сърце-РСД РР 135/80",1
6891,"сърце","Сърце-РСД РР 130/80",2
6892,"бял дроб","Бял дроб-ясен перкуторен тон,чисто везик",1
6893,"крайници","Крайници- разширени вени и леки отоци на подбедриците.",1
6894,"крайници","Крайници:  отоци,",1
6895,"крайници","Крайници -набелязани  отоци",1
6896,"щитовидна жлеза","Щитовидна жлеза неболезнена , неувеличена",17
6897,"корем","корем-споокен",1
6898,"език","език-оложен",1
6899,"корем","корем-споконе",16
6900,"корем","корем-д асцит",1
6901,"корем","корем-с асцит",4
6902,"крайници","крайници-с леки претибиални отоци",1
6903,"език","език-оболжен",1
6904,"бял дроб","Пулмо-везикуларно дишане леко отслабено в основите",17
6905,"корем","Корем-без патология",17
6906,"крайници","Крайници-без отоци по  подбедриците.",17
6907,"корем","Корем- мек и неболезнен",5
6908,"крайници","Крайници-бо",20
6909,"бял дроб","Везикуларно дишане ,застойни хрипове",1
6910,"бял дроб","Везикуларно дишане, застойни хрипове",1
6911,"глава","Глава -лека рубеоза по бузите",9
6912,"кожа","Кожа е с по -тъмен оттенък по лицето",2
6913,"черен дроб","Черен дроб  ислезка -неувеличени",2
6914,"бял дроб","Сукусио реналис -отриц",2
6915,"опорно-двигателен апарат","ОДА -.Данни за анкилоз",2
6916,"корем","Корем- мек, спокоен без палп. болезненост",11
6917,"опорно-двигателен апарат","ОДА -",12
6918,"опорно-двигателен апарат","ОДА -няма патол",3
6919,"корем","Корем -мек, спокоен",2
6920,"бял дроб","Pulmo-задълбочено, ритмично вез. дишане",1
6921,"опорно-двигателен апарат","ОДА -запаздена подвижност на всички стави.",1
6922,"бъбрек","Сук. рен. отр. двустр",18
6923,"крайници","Крайници-без пат.промени",10
6924,"кожа","Бледо розови  кожа и кожа и  видими лигавици",1
6925,"кръвно налягане","RR",17
6926,"тегло","тегло: 76",1
6927,"специален статус","СПЕЦ.СТАТУС-Няма отоци по долни крайници.",5
6928,"специален статус","СПЕЦ.СТАТУС-Няма отоци по долни крайници",1
6929,"пулс","Пулс: 76",2
6930,"кръвно налягане","АН: 140/85",1
6931,"тегло","тегло: 78",6
6932,"тегло","тегло: 82",7
6933,"гърло","Гърло и фаринкс-зачервени",1
6934,"черен дроб","Ч. дроб и слезка не се палпират уголемени",80
6935,"бял дроб","Пулмо- двустранно,чисто,везикуларно дишане",95
6936,"корем","Корем- меко-еластични коремни стени ,липсва палпаторна болезненост,физиологична перисталтика",9
6937,"кожа","Кожа - мургава,чиста",7
6938,"кожа","Кожа- суховата,чиста",1
6939,"корем","Корем- мек, липсва палпаторна болезненост, физиологична перисталтика",10
6940,"крайници","Крайници- без отоци,запазени ПАП.",16
6941,"бъбрек","SR в дясно пол./+/.",1
6942,"бъбрек","SR двустранно отр./-/..",1
6943,"корем","Корем- мек,липсва палпаторна болезненост, физиологична перисталтика",15
6944,"млечна жлеза","Мл. жлези- дясна с частична разакция",8
6945,"млечна жлеза","Мл. жлези- дясна с частична разекция",3
6946,"кожа","Кожа -мургава, чиста",10
6947,"кръвно налягане","RR120/85",5
6948,"кожа","КОжа- мургава,чиста",14
6949,"кръвно налягане","RR110/65",3
6950,"кръвно налягане","RR120/65",2
6951,"общо състояние","Засоволително  общо състояние",1
6952,"корем","Корем- мек,липсва палпаторна болезненост,оживена чревна перисталтика",9
6953,"корем","Корем- мек, липсва палпаторна болезненост, физиологична перисталтика,без данни за коремна органомегалия",13
6954,"бял дроб","Пулмо- двустранно, чисто, везикуларно дишане",58
6955,"кръвно налягане","RR155/100",1
6956,"корем","Корем- мек,липсва палпаторна болрезненост, физиологична присталтика,без данни за коремна органомегалия",1
6957,"общо състояние","Доброобщо състояние",16
6958,"бял дроб","Пулмо- чисто, везикуларно дишане",4
6959,"корем","Корем- мек, физиологична перисталтика, стомата функционира,с евентрация около стомата",4
6960,"кръвно налягане","RR135(0/80",1
6961,"бял дроб","Пулмо-двустранно,чисто,везикуларно дишане",2
6962,"кръвно налягане","RR160/110",1
6963,"корем","Корем- мек,  палпаторна болезненост в лявата ингвинална фоса,, физиологична перисталтика",3
6964,"бъбрек","SR двустранно отр./-/.",2
6965,"кръвно налягане","RR120/(80",1
6966,"кръвно налягане","RR90/50",3
6967,"крайници","Крайници- без застойни отоц.",8
6968,"крайници","Крайници- без застойни отоци.",1
6969,"кръвно налягане","RR 105/70",1
6970,"кръвно налягане","RR 100/70",4
6971,"крайници","Крайници- без застойни отоци",1
6972,"бъбрек","SR двустранно отр.(-).",7
6973,"корем","Корем- мек,лека палпаторна болезненост над симфизата ,физиологична перисталтика",1
6974,"корем","Корем- меко-еластични коремни стени,лека палпаторна болезненост над симфизата,физиологична перисталтика",1
6975,"бъбрек","SRв ляво леко пол./+/.",1
6976,"корем","корем- мек,лека палпаторна болезненост над симфизата,физиологична перисталтика",1
6977,"лимфни възли","ПЛВ не се палпират уголемени",7
6978,"корем","Корем- мек,палпаторна болезненост над симфизата,физиологична перисталтика",1
6979,"корем","Корем- мек, лека палпаторна болезненост над симфизата ,физиологична перисталтика",2
6980,"общо състояние","Леко вредено общо състояние",1
6981,"кръвно налягане","RR105/75",1
6982,"корем","Корем- мек, палпаторна болезненост в левия хипохондриум,оживена чревна перисталтика",1
6983,"бял дроб","Пулмо- чисто,везикуларно дишане",10
6984,"корем","Корем- мек, липсва палпаторна болезненост, физиологична перисталтика, без данни за коремна органомегалия",9
6985,"кръвно налягане","RR1140/80",1
6986,"око","VOD/VOS=1.0",1
6987,"крайници","Крайници- отоци по двете подбедри и глезени.",1
6988,"корем","Корем- мек,лека палпаторна болезненост в дясното подребрие,физиологична перисталтика,без данни за асцит",1
6989,"крайници","Крайници- без отоци,запазени ПАП..",1
6990,"кръвно налягане","RR105/70",1
6991,"бял дроб","Пулмо-везикуларно дишане двустранно",94
6992,"глава","Глава-с правилна конфигурация",2
6993,"бял дроб","Б. дроб-везикуларно дишане",2
6994,"опорно-двигателен апарат","ОДА-Б.О. Оперативен цикатрикс- спокоен",2
6995,"глава","; ГЛАВА и ШИЯ-очни дъна без видими промени",1
6996,"бъбрек","Сукусио реналис отр.",2
6997,"бял дроб","б дроб-везикуларно дишане без хрипове",28
6998,"корем","корем- мек без органомегалия",28
6999,"опорно-двигателен апарат","ода- запазени функции.",28
7000,"черен дроб","Черен дроб и слезка-неувеличен",2
7001,"общо състояние","В добро състояние",7
7002,"бял дроб","Pulmo--изостр",11
7003,"бял дроб","pulmo-норм. вез. дишане",1
7004,"бял дроб","Пулмо-везикуларно дишане  с удължено издишване двустранно",1
7005,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА-оперативен цикатрикс-тотална тиреотомия",1
7006,"бял дроб","БЯЛ ДРОБ-вез. дишане с нормална дълбочина",13
7007,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-вез. дишане с нормална дълбочина",1
7008,"сърце","СЪРЦЕ-ритмична сърдечна дейност  тонове ясни; ПУЛС-83",1
7009,"бял дроб","БЯЛ ДРОБ-везикуларно диш. ,без хрипове",5
7010,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-везикуларно диш. ,без хрипове",1
7011,"специален статус","СПЕЦ.СТАТУС-иридоциклит",4
7012,"специален статус","СПЕЦ.СТАТУС-без отоци",59
7013,"специален статус","СПЕЦ.СТАТУС-болка в дв.уши, намален слух",1
7014,"език","ЕЗИК-сух, обложен",3
7015,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-огр.и болезнени дв. в лумб.отдел на гр. стълб",1
7016,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-полиартритни промени по ставите",12
7017,"сърце","СЪРЦЕ-ритмична сърдечна дейност  тонове ясни; ПУЛС-80",1
7018,"бял дроб","БЯЛ ДРОБ-вез.дишане с др.вл. хр. в основите",1
7019,"сърце","СЪРЦЕ-ритмична сърдечна дейност  тонове глухи",1
7020,"специален статус","СПЕЦ.СТАТУС-Отоци по подбедриците",13
7021,"бял дроб","БЯЛ ДРОБ-отслабено вез.дишане с др.вл.хр. в основите",1
7022,"сърце","СЪРЦЕ-ритмична сърдечна дейност  тонове ясни; ПУЛС-72",1
7023,"корем","КОРЕМ-мек ,болезнен",2
7024,"гърло","ГЪРЛО И ТОНЗИЛИ-афония",1
7025,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-болезнени и невъзможни дв.  в ръцете с оточност на дланите",1
7026,"бял дроб","БЯЛ ДРОБ-отслабено вез.дишне с вл хр. дв.основи",1
7027,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-гонартроза",6
7028,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-силно огр.и болезнени дв. в лумб.отдел на гр. стълб, паравер",2
7029,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-силно ограничени и болезнени дв. лумб.отдел на гр. стълб",1
7030,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-ограничени и болезнени дв. лумб.отдел на гр. стълб, паравер",1
7031,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-на ребрена дъга болезнен",3
7032,"кожа","Бледа  кожа  и видими лигавици",1
7033,"нервна система","Нервно-психическо развитие-без отклонения.",1
7034,"бял дроб","Пулмо-везикуларно дишане, без особености",103
7035,"бял дроб","ДС-везикуларно дишане,без хрипове",2
7036,"бял дроб","Чисто везикуларно дишане,без хрипове",90
7037,"бял дроб","Пулмо-везикуларно дишане, отслабено в лява белодробна основа",3
7038,"корем","Корем- мек,  болезнен в дясното подребрие и кръста",2
7039,"кръвно налягане","RR120/ 80",5
7040,"бял дроб","Везикуларно дишане с удължено издишване",12
7041,"опорно-двигателен апарат","ОДА- б.о.",20
7042,"бял дроб","Пулмо- везикуларно дишане без особености",1
7043,"бял дроб","ДС-чисто везикуларно дишане,без хрипове",1
7044,"черен дроб","Черен дроб не увеличен",28
7045,"сърце","и сърце-б.о",1
7046,"гърло","Кожа и лиг-зачервено гърло",1
7047,"кожа","КОЖА И ЛИГ.-Б.О",1
7048,"бял дроб","Пулмо-отсл.вез.дишане",1
7049,"крайници","Крайници-открита рана на дясно стъпало",1
7050,"бял дроб","Б.дроб-вез.дишане без прибавени хрипове",4
7051,"сърце","Сърце-ритм.сърд.дейност",61
7052,"общо състояние","В средно увредено  общо състояние",4
7053,"сърце","КОР ритмична",3
7054,"кръвно налягане","RR  140/70",4
7055,"кръвно налягане","RR  130/70",1
7056,"крайници","Без оттоци по долни крайници",1
7057,"око","Зрение и слух в норма за възрастта",1
7058,"крайници","Крайници артрозни промени",4
7059,"общо състояние","В увредено общо състояниеД",1
7060,"бъбрек","сук.рен./+/пол.двустранно",1
7061,"крайници","Крайници-отци и зачервяване",1
7062,"общо състояние","В средно увредено общо състояниеД",21
7063,"бял дроб","Б.дроб-вез.дишане без хрипове",1
7064,"корем","Корем- мек, палп. Неболезнен",9
7065,"вена","Вени-артрозни промени",1
7066,"сърце","Сърце ритм.сърд.дейност",4
7067,"око","Зрение-глаукома и слух намалениДих",1
7068,"общо състояние","В увредено общосъстояние",2
7069,"бял дроб","Б.дроб-отсл.вез.дишане",3
7070,"кръвно налягане","АН-180/95",1
7071,"крайници","Крайници-липсват отоци по подбедриците.",1
7072,"черен дроб","Черен дроб неувел",36
7073,"корем","Корем мек спокен",3
7074,"крайници","крайници- липсват отоци по подбедриците",1
7075,"крайници","Крайници- липсват отоци по подбедриците.",1
7076,"око","ЗРЕНИЕ-ВОД-1,0 ВОС-1,0 цветоусещане-в норма",8
7077,"глава","ГЛАВА и ШИЯ-спондилоартроза",1
7078,"кожа","КОЖА-заздр",1
7079,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-артрозни",2
7080,"бъбрек","SR-/-/ дв.12",16
7081,"кръвно налягане","RR140    /  80    .",1
7082,"нервна система","Нервна система- без патология.13",12
7083,"опорно-двигателен апарат","ОДА -без патология.14",12
7084,"бял дроб","Гр. кош и бял дроб-везикуларно дишане,запазена респираторна подвижност",1
7085,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-спондилоартрозни промени",7
7086,"език","ЕЗИК-норма",161
7087,"гърло","ГЪРЛО-норма",167
7088,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-остеопороза",9
7089,"глава","; ГЛАВА и ШИЯ-опер.цикатрикс",1
7090,"специален статус","СПЕЦ.СТАТУС-десностранна мастектомия",1
7091,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-спондилоза",6
7092,"специален статус","СПЕЦ.СТАТУС-отоци няма",5
7093,"специален статус","СПЕЦ.СТАТУС-Псих.ст.:Без отклонения",4
7094,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-метална остеосинтеза на гръбначен стълб",1
7095,"специален статус","; СПЕЦ.СТАТУС-тревожна, оплакваща се , ларвирана потиснатост",1
7096,"крайници","движения в крайниците",4
7097,"ухо","Слух -запазен",2
7098,"корем","Корем- мек, без органомегалия.,стомата функционира нормално",1
7099,"лимфни възли","ПЛВ-б.о.Щит.жлеза-I б степен",12
7100,"бял дроб","везикуларно дишане;",3
7101,"бял дроб","ОТ ПУЛМО - ИЗОСТРЕНО ВЕЗИКУЛАРНО ДИШАНЕ",1
7102,"бъбрек","СУК РЕНИС - БО.  ,",3
7103,"общо състояние","УВР ОБЩО СЪСТОЯНИЕ",2
7104,"общо състояние","ТЕРМИНАЛНО СЪСТОЯНИЕ",1
7105,"пулс","ПУЛС - 68",29
7106,"корем","КОРЕМ МЕК, СПОКОЕН",21
7107,"общо състояние","ЗАДОВОЛИТЕЛНО  СЪСТОЯНИЕ",3
7108,"бял дроб","ДС-везикуларно дишане без приб.хрипове",28
7109,"крайници","Крайници-без отоци по двете подбедрици..",6
7110,"бял дроб","ДС-везикуларно дишане отслабено в дясно",1
7111,"бял дроб","ВДС-везикуларно дишане отслабено в дясно",1
7112,"щитовидна жлеза","Щит.жлеза-увеличена",12
7113,"корем","Корем - мек,палп.неболезнен",10
7114,"общо състояние","В съхранено общо състояние",10
7115,"сърце","Ясни сърдечни тонове,ритмична сърдечна дейност с артериално налягане",2
7116,"бял дроб","Везикуларно дишане без доловими хрипове",2
7117,"бъбрек","Succ. геп. (++) в дясно.;",3
7118,"кръвно налягане","RR=140/80mm.",4
7119,"крайници","намалена сетивност по дерматом S1 на двата долни крайника",2
7120,"крайници","Крайници- без отоци;",2
7121,"млечна жлеза","Мл.жлези-неувеличени",1
7122,"бял дроб","Бели дробове-везикуларно дишане",97
7123,"сърце","Сърце-ритмична,нормофреквентна сърдечна дейност,ясни сърдечни тонове, без прибавени шумове",34
7124,"кръвно налягане","RR110/80",3
7125,"лимфни възли","ПЛВ-неув.",42
7126,"бъбрек","Сук.реналис пол./+/ вляво",1
7127,"крайници","Крайници със запазени ПСП,нормална вибрационна сетивност,без отоци.",2
7128,"крайници","Крайници намалена вибрационна сетивност от дистален тип,запазени ПАП,без отоци.",1
7129,"крайници","Крайници със запазени ПАП,нормална вибрационна сетивност,без отоци.",1
7130,"лигавица","Лигавиците сане са засегнати",1
7131,"черен дроб","Hepar и слезка не се палпират",1
7132,"око","Очен статус - намалено зрение за близо и залеч, лес седефен блясък на зеницата .",1
7133,"бъбрек","Succ.ren (+) двустр.",6
7134,"око","Очен статус-б.о.Храносм",1
7135,"крайници","крайници-запазени пулсации и сетивност",10
7136,"бял дроб","Сукк. реналис /-/ двустр",4
7137,"кожа","Лиг.и кожа  розови",9
7138,"кожа","Кожа и лигавици розови.",7
7139,"пулс","ПУЛС-110",10
7140,"температура","Т--38,5",1
7141,"общо състояние","В  зад. общо състояние",5
7142,"общо състояние","Задоволително         Общо състояние",1
7143,"сърце","СЪРЦЕ-ритм.сърд.д-ст,глух.тонове",14
7144,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-крайници-без отоци и съдови промени",38
7145,"сърце","СЪРЦЕ-ритм.сърд.д-ст,ясни тонове",33
7146,"опорно-двигателен апарат","; ОПОРНО-ДВИГ.АПАРАТ-подуване и деформация на засегнатата става",1
7147,"специален статус","СПЕЦ.СТАТУС-хрущене,скованост,оток",1
7148,"глава","ГЛАВА и ШИЯ-неув.шийни л.възли",3
7149,"гърло","ГЪРЛО-хиперемиран фаринкс",6
7150,"специален статус","СПЕЦ.СТАТУС-CRP-23.9",1
7151,"специален статус","; СПЕЦ.СТАТУС-оток и палпаторна болезненост в засегнатите стави",1
7152,"кожа","КОЖА-следи от екскориации,екзематозни участъци в гънките на ръцете и краката",3
7153,"специален статус","СПЕЦ.СТАТУС-дерматитни промени - сквами",1
7154,"специален статус","СПЕЦ.СТАТУС-дерматитни промени - сквами,сълзене",1
7155,"специален статус","СПЕЦ.СТАТУС-дерматитни промени - сквами,сълзене,палпаторна б-ст в засегнатите стави",1
7156,"специален статус","СПЕЦ.СТАТУС-опер.рана-спокойна",2
7157,"корем","КОРЕМ-мек,болезнен",40
7158,"специален статус","СПЕЦ.СТАТУС-анално кървене",1
7159,"специален статус","СПЕЦ.СТАТУС-оператимна рана-спокойна",8
7160,"специален статус","СПЕЦ.СТАТУС-без промяна",2
7161,"бял дроб","БЯЛ ДРОБ-везикуларно дишане,крепитации в основите",1
7162,"корем","Корем - мек, болезнен по хода на уретер",13
7163,"бъбрек","Сук.рен.пол .в  .",15
7164,"корем","Корем -",11
7165,"бъбрек","Сук.-",1
7166,"сърце","Cor - р.с.д., fr 72 умин. , RR 160 80  .",1
7167,"корем","Корем и крайници",3
7168,"сърце","Cor - р.с.д. 76  умин. , RR 10080  .",2
7169,"крайници","Крайници -",5
7170,"щитовидна жлеза","увеличена щитовидна жлеза по Швейцарската скала",2
7171,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-правилно развит и оформен,",1
7172,"бял дроб","Пулмо - чисто везикуларно дишане, без хрипова находка",50
7173,"лимфни възли","ПЛВ не се установяват увеличени",1
7174,"корем","Корем - мек. палпаторно неболезнен.",5
7175,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-80",2
7176,"език","ЕЗИК-суховат,леко обложен",3
7177,"гърло","ГЪРЛО-хиперемирани тонзили",1
7178,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-71",1
7179,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-72",2
7180,"сърце","СЪРЦЕ-ритмична нормофрекфентна сърдечна деиност",28
7181,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-на ребрена дъга",51
7182,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-б.о.",30
7183,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-96",1
7184,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-82",9
7185,"сърце","СЪРЦЕ-ритмична сърдечна деиност",1
7186,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-74",8
7187,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-84",4
7188,"гърло","ГЪРЛО-чисто розово",2
7189,"език","ЕЗИК-чист,не обложен",1
7190,"сърце","СЪРЦЕ-тахикардична сърдечна деиност",1
7191,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-75",4
7192,"кожа","КОЖА-еритемен фациес",11
7193,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-подбедрици без отоци",13
7194,"специален статус","СПЕЦ.СТАТУС-P-169  T-70",1
7195,"сърце","СЪРЦЕ-Ритмична сърдечна дейност.; ПУЛС-86",1
7196,"специален статус","СПЕЦ.СТАТУС-болка при пасивни и активни движения",3
7197,"корем","тонове,62фр. Корем и",1
7198,"млечна жлеза","Мл. жлези: б.о. - обучение за  палпация на",17
7199,"кожа","Кожа и в.л.-бледи",1
7200,"корем","Корем- мек,  неболезнен при палпация, физиологична перисталтика",3
7201,"кожа","Бледорозови кожа и видими лигавици",6
7202,"млечна жлеза","мл. жлеза.",1
7203,"млечна жлеза","Мл. жлези:двустранна мастектомия.",1
7204,"млечна жлеза","мл. жлеза",2
7205,"кръвно налягане","RR: 135-80",2
7206,"глава","Глава и шия -б.о",1
7207,"общо състояние","Общ статус:Добро общо състояние",1
7208,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-неувеличени,неболезнени на палпация",76
7209,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-симетричен,респираторно подвижен,чисто вез.дишане",23
7210,"сърце","СЪРЦЕ-ритмична сърдечна дейност ясни тонове сист шум на основата",1
7211,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-артрозна болест",12
7212,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Артрозна болест Без отоци по подбедриците",1
7213,"кожа","КОЖА-ЧИСТА,ТОПЛА",10
7214,"сърце","СЪРЦЕ-ритмична сърдечна дейност ЯСНИ ТОНОВЕ,БЕЗ ШУМОВА НАХОДКА",62
7215,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-палпат болка в обл на дясната тазобедрена става",1
7216,"кръвно налягане","RR-130/8",2
7217,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Без отоци по крайниците Деформирани стави на двете китки",2
7218,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-деформирани фаланги на двете китки",7
7219,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Дискретни отоци по подбедриците",1
7220,"сърце","СЪРЦЕ-ритмична сърдечна дейност ясни тонове,сист шум на аортата.; ПУЛС-66",4
7221,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Артрозна болест- коксартроза",1
7222,"сърце","СЪРЦЕ-ритмична сърдечна дейност ясни тонове,сист шум на аортата.; ПУЛС-64",3
7223,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Безотоци по подбедриците",3
7224,"бъбрек","Сук. рен .отр. двустранно",1
7225,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Запазени пулсации с намален виброусетна крайниците",4
7226,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Запазени пулсации с намален виброусет на крайниците",5
7227,"бял дроб","БЯЛ ДРОБ-симетричен,респираторно подвижен гръден кош,чисто везикуларно дишане",7
7228,"гърло","ГЪРЛО-спокойна лигавица",20
7229,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-оток с болка в облна дясната колянна става",1
7230,"лимфни възли","; ПЕРИФЕРНИ ЛИМФНИ ВЪЗЛИ-щит. жл. увеличена",2
7231,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-полиневропатия за долни крайници",5
7232,"кожа","КОЖА-бледо-сълта",1
7233,"лимфни възли","; ПЕРИФЕРНИ ЛИМФНИ ВЪЗЛИ-увеличен ЛВ в лява аксиларна област",15
7234,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-палпаторна болка в лумбален отдел на гр. стълб",3
7235,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-палпаторна болка по хода на ребрата и гр. стълб",11
7236,"бял дроб","БЯЛ ДРОБ-отслабено  везикуларно дишане",4
7237,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-палпаторна болка по хода на ребрата в гръден отдел",4
7238,"бял дроб","БЯЛ ДРОБ-везикуларно дишане с единични влажни хрипове в лява основа",1
7239,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-хепар-не се палпира",1
7240,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-подбедрици оточни, хиперемирани , варикозни вени",2
7241,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-дясна ТБС болезнен двигателен обем",2
7242,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-кол. стави болезнен двигателен обем",3
7243,"бял дроб","; БЯЛ ДРОБ-изострено вез. дишане",7
7244,"бял дроб","; БЯЛ ДРОБ-вез. дишане",5
7245,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-тремор на крайниците Ромберг-нестабилен .Хипестезия от дистален тип",4
7246,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-дясна предмишница  образувание с р-р на голям орех палпаторно болезнено , коха хиперемирана",1
7247,"кожа","КОЖА-еритемен обрив",1
7248,"око","ЗРЕНИЕ-ВОС 1,0 ВОД 1,0 цветоусещани нормално",1
7249,"опорно-двигателен апарат","ОДА-б.о,повърхностни вени неразширени",123
7250,"черен дроб","Черен дроб-неуголемен,неболезнен.",2
7251,"опорно-двигателен апарат","ОДА-б.о,повърхностни вени неразширени Ампутиран ляв крайник 2005г.",1
7252,"опорно-двигателен апарат","ОДА-артрозни промени,повърхностни вени неразширени",2
